miRNA,Selection_Frequency,Is_Stable,Is_Reference,Mean_Weight
hsa-mir-135b,1.0,True,False,1.567152180800546
hsa-mir-486-1,1.0,True,False,-0.7351339183540209
hsa-mir-210,1.0,True,False,0.51934522207378
hsa-mir-196a-2,0.996,True,False,0.6196632618094753
hsa-mir-143,0.982,True,False,-0.23937120364982842
hsa-mir-378a,0.888,True,False,-0.4439727270683632
hsa-mir-708,0.834,True,False,0.4028498134288023
hsa-mir-1269a,0.798,True,False,0.20486630578724788
hsa-mir-193b,0.792,True,False,0.9143147313320528
hsa-mir-675,0.764,True,False,0.4016629945231293
hsa-mir-182,0.76,True,False,0.48708109104425973
hsa-mir-200c,0.752,True,False,-0.6649929646434471
hsa-mir-224,0.71,True,False,0.18761597927725013
hsa-mir-483,0.702,True,False,-0.30124613813644635
hsa-mir-514a-1,0.648,True,False,-0.4066061807983508
hsa-mir-217,0.642,True,False,0.07670490258520507
hsa-mir-184,0.63,True,False,-0.031685071995925865
hsa-mir-100,0.618,True,False,-0.1242659796288279
hsa-mir-345,0.608,True,False,0.1825112169402402
hsa-mir-205,0.554,False,False,0.0
hsa-let-7a-3,0.508,False,False,0.0
hsa-let-7a-2,0.478,False,False,0.0
hsa-mir-203a,0.446,False,False,0.0
hsa-let-7a-1,0.384,False,False,0.0
hsa-mir-9-1,0.35,False,False,0.0
hsa-mir-891a,0.336,False,False,0.0
hsa-mir-4772,0.266,False,False,0.0
hsa-mir-508,0.254,False,False,0.0
hsa-mir-514a-2,0.236,False,False,0.0
hsa-mir-509-3,0.228,False,False,0.0
hsa-mir-486-2,0.208,False,False,0.0
hsa-mir-514a-3,0.186,False,False,0.0
hsa-mir-10b,0.158,False,False,0.0
hsa-mir-651,0.144,False,False,0.0
hsa-mir-450b,0.144,False,False,0.0
hsa-mir-5698,0.136,False,False,0.0
hsa-let-7d,0.132,False,False,0.0
hsa-mir-19a,0.132,False,False,0.0
hsa-mir-34c,0.122,False,False,0.0
hsa-mir-493,0.11,False,False,0.0
hsa-mir-552,0.108,False,False,0.0
hsa-mir-139,0.084,False,False,0.0
hsa-mir-503,0.078,False,False,0.0
hsa-mir-21,0.078,False,False,0.0
hsa-mir-30a,0.066,False,False,0.0
hsa-mir-31,0.062,False,False,0.0
hsa-mir-153-2,0.06,False,False,0.0
hsa-mir-934,0.054,False,False,0.0
hsa-mir-96,0.052,False,False,0.0
hsa-mir-424,0.048,False,False,0.0
hsa-mir-3065,0.04,False,False,0.0
hsa-mir-1247,0.036,False,False,0.0
hsa-mir-9-2,0.028,False,False,0.0
hsa-mir-144,0.022,False,False,0.0
hsa-mir-3607,0.022,False,False,0.0
hsa-mir-598,0.02,False,False,0.0
hsa-mir-511,0.018,False,False,0.0
hsa-mir-148a,0.018,False,False,0.0
hsa-mir-204,0.016,False,False,0.0
hsa-mir-451a,0.016,False,False,0.0
hsa-mir-145,0.016,False,False,0.0
hsa-mir-183,0.014,False,False,0.0
hsa-mir-450a-1,0.014,False,False,0.0
hsa-mir-381,0.014,False,False,0.0
hsa-mir-296,0.014,False,False,0.0
hsa-mir-577,0.012,False,False,0.0
hsa-mir-19b-2,0.012,False,False,0.0
hsa-mir-3614,0.01,False,False,0.0
hsa-mir-138-2,0.006,False,False,0.0
hsa-mir-196a-1,0.006,False,False,0.0
hsa-mir-130b,0.004,False,False,0.0
hsa-mir-133a-1,0.004,False,False,0.0
hsa-mir-7702,0.002,False,False,0.0
hsa-mir-664a,0.002,False,False,0.0
hsa-mir-542,0.002,False,False,0.0
hsa-mir-455,0.002,False,False,0.0
hsa-mir-133a-2,0.002,False,False,0.0
hsa-mir-134,0.002,False,False,0.0
hsa-mir-382,0.002,False,False,0.0
hsa-mir-34b,0.002,False,False,0.0
hsa-mir-375,0.002,False,False,0.0
hsa-mir-449a,0.002,False,False,0.0
hsa-mir-4668,0.002,False,False,0.0
hsa-mir-337,0.002,False,False,0.0
hsa-mir-944,0.002,False,False,0.0
hsa-mir-1-2,0.002,False,False,0.0
hsa-mir-744,0.0,False,False,0.0
hsa-mir-101-2,0.0,False,False,0.0
hsa-mir-101-1,0.0,False,False,0.0
hsa-mir-1-1,0.0,False,False,0.0
hsa-let-7i,0.0,False,False,0.0
hsa-let-7g,0.0,False,False,0.0
hsa-let-7f-2,0.0,False,False,0.0
hsa-let-7f-1,0.0,False,False,0.0
hsa-let-7e,0.0,False,False,0.0
hsa-let-7c,0.0,False,False,0.0
hsa-mir-106a,0.0,False,False,0.0
hsa-mir-106b,0.0,False,False,0.0
hsa-mir-107,0.0,False,False,0.0
hsa-mir-10a,0.0,False,False,0.0
hsa-mir-1180,0.0,False,False,0.0
hsa-mir-1226,0.0,False,False,0.0
hsa-mir-1228,0.0,False,False,0.0
hsa-mir-1248,0.0,False,False,0.0
hsa-mir-1249,0.0,False,False,0.0
hsa-mir-125a,0.0,False,False,0.0
hsa-mir-655,0.0,False,False,0.0
hsa-mir-659,0.0,False,False,0.0
hsa-mir-660,0.0,False,False,0.0
hsa-mir-664b,0.0,False,False,0.0
hsa-mir-671,0.0,False,False,0.0
hsa-mir-6718,0.0,False,False,0.0
hsa-mir-181b-1,0.0,False,False,0.0
hsa-mir-181b-2,0.0,False,False,0.0
hsa-mir-181c,0.0,False,False,0.0
hsa-mir-181d,0.0,False,False,0.0
hsa-mir-185,0.0,False,False,0.0
hsa-mir-186,0.0,False,False,0.0
hsa-mir-187,0.0,False,False,0.0
hsa-mir-188,0.0,False,False,0.0
hsa-mir-18a,0.0,False,False,0.0
hsa-mir-190a,0.0,False,False,0.0
hsa-mir-191,0.0,False,False,0.0
hsa-mir-192,0.0,False,False,0.0
hsa-mir-193a,0.0,False,False,0.0
hsa-mir-194-1,0.0,False,False,0.0
hsa-mir-194-2,0.0,False,False,0.0
hsa-mir-195,0.0,False,False,0.0
hsa-mir-199a-1,0.0,False,False,0.0
hsa-mir-199a-2,0.0,False,False,0.0
hsa-mir-199b,0.0,False,False,0.0
hsa-mir-19b-1,0.0,False,False,0.0
hsa-mir-200a,0.0,False,False,0.0
hsa-mir-200b,0.0,False,False,0.0
hsa-mir-203b,0.0,False,False,0.0
hsa-mir-20a,0.0,False,False,0.0
hsa-mir-20b,0.0,False,False,0.0
hsa-mir-15a,0.0,False,False,0.0
hsa-mir-15b,0.0,False,False,0.0
hsa-mir-16-1,0.0,False,False,0.0
hsa-mir-16-2,0.0,False,False,0.0
hsa-mir-17,0.0,False,False,0.0
hsa-mir-181a-1,0.0,False,False,0.0
hsa-mir-181a-2,0.0,False,False,0.0
hsa-mir-29a,0.0,False,False,0.0
hsa-mir-29b-1,0.0,False,False,0.0
hsa-mir-29b-2,0.0,False,False,0.0
hsa-mir-2110,0.0,False,False,0.0
hsa-mir-212,0.0,False,False,0.0
hsa-mir-214,0.0,False,False,0.0
hsa-mir-215,0.0,False,False,0.0
hsa-mir-218-1,0.0,False,False,0.0
hsa-mir-218-2,0.0,False,False,0.0
hsa-mir-219a-1,0.0,False,False,0.0
hsa-mir-22,0.0,False,False,0.0
hsa-mir-221,0.0,False,False,0.0
hsa-mir-222,0.0,False,False,0.0
hsa-mir-223,0.0,False,False,0.0
hsa-mir-2277,0.0,False,False,0.0
hsa-mir-2355,0.0,False,False,0.0
hsa-mir-3127,0.0,False,False,0.0
hsa-mir-3130-1,0.0,False,False,0.0
hsa-mir-3130-2,0.0,False,False,0.0
hsa-mir-32,0.0,False,False,0.0
hsa-mir-23a,0.0,False,False,0.0
hsa-mir-23b,0.0,False,False,0.0
hsa-mir-24-1,0.0,False,False,0.0
hsa-mir-24-2,0.0,False,False,0.0
hsa-mir-25,0.0,False,False,0.0
hsa-mir-26a-1,0.0,False,False,0.0
hsa-mir-26a-2,0.0,False,False,0.0
hsa-mir-26b,0.0,False,False,0.0
hsa-mir-27a,0.0,False,False,0.0
hsa-mir-27b,0.0,False,False,0.0
hsa-mir-28,0.0,False,False,0.0
hsa-mir-299,0.0,False,False,0.0
hsa-mir-328,0.0,False,False,0.0
hsa-mir-330,0.0,False,False,0.0
hsa-mir-331,0.0,False,False,0.0
hsa-mir-335,0.0,False,False,0.0
hsa-mir-338,0.0,False,False,0.0
hsa-mir-339,0.0,False,False,0.0
hsa-mir-33a,0.0,False,False,0.0
hsa-mir-29c,0.0,False,False,0.0
hsa-mir-301a,0.0,False,False,0.0
hsa-mir-301b,0.0,False,False,0.0
hsa-mir-3074,0.0,False,False,0.0
hsa-mir-30b,0.0,False,False,0.0
hsa-mir-30c-1,0.0,False,False,0.0
hsa-mir-30c-2,0.0,False,False,0.0
hsa-mir-30d,0.0,False,False,0.0
hsa-mir-30e,0.0,False,False,0.0
hsa-mir-148b,0.0,False,False,0.0
hsa-mir-149,0.0,False,False,0.0
hsa-mir-150,0.0,False,False,0.0
hsa-mir-151a,0.0,False,False,0.0
hsa-mir-151b,0.0,False,False,0.0
hsa-mir-152,0.0,False,False,0.0
hsa-mir-154,0.0,False,False,0.0
hsa-mir-155,0.0,False,False,0.0
hsa-mir-3200,0.0,False,False,0.0
hsa-mir-320a,0.0,False,False,0.0
hsa-mir-320b-1,0.0,False,False,0.0
hsa-mir-320b-2,0.0,False,False,0.0
hsa-mir-323a,0.0,False,False,0.0
hsa-mir-323b,0.0,False,False,0.0
hsa-mir-324,0.0,False,False,0.0
hsa-mir-326,0.0,False,False,0.0
hsa-mir-3913-1,0.0,False,False,0.0
hsa-mir-33b,0.0,False,False,0.0
hsa-mir-340,0.0,False,False,0.0
hsa-mir-342,0.0,False,False,0.0
hsa-mir-34a,0.0,False,False,0.0
hsa-mir-3605,0.0,False,False,0.0
hsa-mir-361,0.0,False,False,0.0
hsa-mir-3613,0.0,False,False,0.0
hsa-mir-3615,0.0,False,False,0.0
hsa-mir-362,0.0,False,False,0.0
hsa-mir-363,0.0,False,False,0.0
hsa-mir-3653,0.0,False,False,0.0
hsa-mir-1468,0.0,False,False,0.0
hsa-mir-146a,0.0,False,False,0.0
hsa-mir-146b,0.0,False,False,0.0
hsa-mir-147b,0.0,False,False,0.0
hsa-mir-425,0.0,False,False,0.0
hsa-mir-429,0.0,False,False,0.0
hsa-mir-431,0.0,False,False,0.0
hsa-mir-432,0.0,False,False,0.0
hsa-mir-4326,0.0,False,False,0.0
hsa-mir-365a,0.0,False,False,0.0
hsa-mir-365b,0.0,False,False,0.0
hsa-mir-3677,0.0,False,False,0.0
hsa-mir-369,0.0,False,False,0.0
hsa-mir-370,0.0,False,False,0.0
hsa-mir-374a,0.0,False,False,0.0
hsa-mir-374b,0.0,False,False,0.0
hsa-mir-376c,0.0,False,False,0.0
hsa-mir-377,0.0,False,False,0.0
hsa-mir-378c,0.0,False,False,0.0
hsa-mir-379,0.0,False,False,0.0
hsa-mir-132,0.0,False,False,0.0
hsa-mir-136,0.0,False,False,0.0
hsa-mir-138-1,0.0,False,False,0.0
hsa-mir-140,0.0,False,False,0.0
hsa-mir-141,0.0,False,False,0.0
hsa-mir-142,0.0,False,False,0.0
hsa-mir-3913-2,0.0,False,False,0.0
hsa-mir-3917,0.0,False,False,0.0
hsa-mir-3928,0.0,False,False,0.0
hsa-mir-3934,0.0,False,False,0.0
hsa-mir-409,0.0,False,False,0.0
hsa-mir-410,0.0,False,False,0.0
hsa-mir-411,0.0,False,False,0.0
hsa-mir-412,0.0,False,False,0.0
hsa-mir-421,0.0,False,False,0.0
hsa-mir-423,0.0,False,False,0.0
hsa-mir-4999,0.0,False,False,0.0
hsa-mir-5000,0.0,False,False,0.0
hsa-mir-500a,0.0,False,False,0.0
hsa-mir-500b,0.0,False,False,0.0
hsa-mir-501,0.0,False,False,0.0
hsa-mir-450a-2,0.0,False,False,0.0
hsa-mir-452,0.0,False,False,0.0
hsa-mir-454,0.0,False,False,0.0
hsa-mir-4661,0.0,False,False,0.0
hsa-mir-4662a,0.0,False,False,0.0
hsa-mir-4677,0.0,False,False,0.0
hsa-mir-4709,0.0,False,False,0.0
hsa-mir-4728,0.0,False,False,0.0
hsa-mir-4746,0.0,False,False,0.0
hsa-mir-1307,0.0,False,False,0.0
hsa-mir-130a,0.0,False,False,0.0
hsa-mir-1271,0.0,False,False,0.0
hsa-mir-128-1,0.0,False,False,0.0
hsa-mir-128-2,0.0,False,False,0.0
hsa-mir-1287,0.0,False,False,0.0
hsa-mir-129-1,0.0,False,False,0.0
hsa-mir-129-2,0.0,False,False,0.0
hsa-mir-1296,0.0,False,False,0.0
hsa-mir-1301,0.0,False,False,0.0
hsa-mir-1306,0.0,False,False,0.0
hsa-mir-484,0.0,False,False,0.0
hsa-mir-485,0.0,False,False,0.0
hsa-mir-487b,0.0,False,False,0.0
hsa-mir-491,0.0,False,False,0.0
hsa-mir-495,0.0,False,False,0.0
hsa-mir-496,0.0,False,False,0.0
hsa-mir-497,0.0,False,False,0.0
hsa-mir-589,0.0,False,False,0.0
hsa-mir-590,0.0,False,False,0.0
hsa-mir-502,0.0,False,False,0.0
hsa-mir-504,0.0,False,False,0.0
hsa-mir-505,0.0,False,False,0.0
hsa-mir-509-1,0.0,False,False,0.0
hsa-mir-509-2,0.0,False,False,0.0
hsa-mir-532,0.0,False,False,0.0
hsa-mir-539,0.0,False,False,0.0
hsa-mir-548b,0.0,False,False,0.0
hsa-mir-125b-1,0.0,False,False,0.0
hsa-mir-125b-2,0.0,False,False,0.0
hsa-mir-126,0.0,False,False,0.0
hsa-mir-1266,0.0,False,False,0.0
hsa-mir-127,0.0,False,False,0.0
hsa-mir-1270,0.0,False,False,0.0
hsa-mir-6509,0.0,False,False,0.0
hsa-mir-6510,0.0,False,False,0.0
hsa-mir-652,0.0,False,False,0.0
hsa-mir-653,0.0,False,False,0.0
hsa-mir-654,0.0,False,False,0.0
hsa-mir-548v,0.0,False,False,0.0
hsa-mir-550a-1,0.0,False,False,0.0
hsa-mir-550a-2,0.0,False,False,0.0
hsa-mir-550a-3,0.0,False,False,0.0
hsa-mir-551a,0.0,False,False,0.0
hsa-mir-551b,0.0,False,False,0.0
hsa-mir-5586,0.0,False,False,0.0
hsa-mir-574,0.0,False,False,0.0
hsa-mir-576,0.0,False,False,0.0
hsa-mir-582,0.0,False,False,0.0
hsa-mir-584,0.0,False,False,0.0
hsa-mir-6720,0.0,False,False,0.0
hsa-mir-6761,0.0,False,False,0.0
hsa-mir-6806,0.0,False,False,0.0
hsa-mir-6837,0.0,False,False,0.0
hsa-mir-6842,0.0,False,False,0.0
hsa-mir-6892,0.0,False,False,0.0
hsa-mir-7-1,0.0,False,False,0.0
hsa-mir-592,0.0,False,False,0.0
hsa-mir-615,0.0,False,False,0.0
hsa-mir-616,0.0,False,False,0.0
hsa-mir-624,0.0,False,False,0.0
hsa-mir-625,0.0,False,False,0.0
hsa-mir-627,0.0,False,False,0.0
hsa-mir-628,0.0,False,False,0.0
hsa-mir-629,0.0,False,False,0.0
hsa-mir-642a,0.0,False,False,0.0
hsa-let-7b,0.0,False,False,0.0
hsa-mir-758,0.0,False,False,0.0
hsa-mir-760,0.0,False,False,0.0
hsa-mir-766,0.0,False,False,0.0
hsa-mir-767,0.0,False,False,0.0
hsa-mir-769,0.0,False,False,0.0
hsa-mir-7705,0.0,False,False,0.0
hsa-mir-7706,0.0,False,False,0.0
hsa-mir-874,0.0,False,False,0.0
hsa-mir-877,0.0,False,False,0.0
hsa-mir-887,0.0,False,False,0.0
hsa-mir-889,0.0,False,False,0.0
hsa-mir-103a-1,0.0,False,False,0.0
hsa-mir-103a-2,0.0,False,False,0.0
hsa-mir-105-1,0.0,False,False,0.0
hsa-mir-105-2,0.0,False,False,0.0
hsa-mir-196b,0.0,False,False,0.0
hsa-mir-197,0.0,False,False,0.0
hsa-mir-1976,0.0,False,False,0.0
hsa-mir-9-3,0.0,False,False,0.0
hsa-mir-92a-1,0.0,False,False,0.0
hsa-mir-92a-2,0.0,False,False,0.0
hsa-mir-92b,0.0,False,False,0.0
hsa-mir-93,0.0,False,False,0.0
hsa-mir-935,0.0,False,False,0.0
hsa-mir-937,0.0,False,False,0.0
hsa-mir-940,0.0,False,False,0.0
hsa-mir-942,0.0,False,False,0.0
hsa-mir-95,0.0,False,False,0.0
hsa-mir-98,0.0,False,False,0.0
hsa-mir-99a,0.0,False,False,0.0
hsa-mir-99b,0.0,False,False,0.0
